DAY 3: TOP JOB TITLES

Top 10 Most Common Job Titles:

                                                          Job Title  Postings
                                                     data scientist       194
                                                      data engineer        82
                                                       data analyst        71
                                          machine learning engineer         9
                                                       data manager         8
                                                     data architect         2
                                                 research scientist         2
                                  data modeler (analytical systems)         1
                       principal, data science - advanced analytics         1
sr expert data science, advanced visual analytics (associate level)         1


Total Unique Simplified Job Titles: 24
